id,created_at,price,area,street,ward,district,post_date,num_bedroom,num_diningroom,num_kitchen,num_toilet,num_floor,current_floor,direction,street_width
20,2024-05-12T07:07:15.577563+00:00,4.3,25,Tân Xuân,Xuân Đỉnh,Bắc Từ Liêm,2023-08-25 00:00:00,0,0,0,0,0,0,0,0
21,2024-05-12T07:07:20.552843+00:00,4.4,30,Mậu Lương,Kiến Hưng,Hà Đông,2023-08-26 00:00:00,0,0,0,0,0,0,0,0
22,2024-05-12T07:07:26.246584+00:00,4.5,30,Tân Xuân,Thụy Phương,Bắc Từ Liêm,2023-08-25 00:00:00,0,0,1,0,0,0,0,0
23,2024-05-12T07:07:31.836233+00:00,5.0,40,Nguyễn Đổng Chi,Cầu Diễn,Nam Từ Liêm,2023-08-26 00:00:00,0,0,1,0,0,0,0,0
24,2024-05-12T07:07:38.089034+00:00,4.5,30,Mậu Lương,Kiến Hưng,Hà Đông,2023-08-26 00:00:00,0,0,1,0,0,0,0,0
25,2024-05-12T07:07:44.404712+00:00,4.0,25,An Dương Vương,Phú Thượng,Tây Hồ,2023-08-25 00:00:00,0,0,0,0,0,0,0,0
26,2024-05-12T07:07:49.566055+00:00,5.5,35,Đại Lộ Thăng Long,Mễ Trì,Nam Từ Liêm,2023-08-29 00:00:00,1,0,1,0,0,0,0,0
27,2024-05-12T07:07:55.059747+00:00,3.8,25,Nguyễn Đổng Chi,Cầu Diễn,Nam Từ Liêm,2023-08-26 00:00:00,0,0,0,0,0,0,0,0
28,2024-05-12T07:08:00.554737+00:00,5.2,30,Mễ Trì,Mễ Trì,Nam Từ Liêm,2023-08-29 00:00:00,0,1,1,0,0,0,0,0
29,2024-05-12T07:08:06.49917+00:00,6.9,35,Nguyễn Văn Huyên,Quan Hoa,Cầu Giấy,2023-08-29 00:00:00,0,0,1,0,0,0,0,0
30,2024-05-12T07:08:12.101954+00:00,1.7,7,Doãn Kế Thiện,Mai Dịch,Cầu Giấy,2023-09-07 00:00:00,0,0,0,0,0,0,0,0
31,2024-05-12T07:08:18.821678+00:00,3.8,25,Liên Xá,Tân Triều,Thanh Trì,2023-09-08 00:00:00,1,0,1,1,0,0,0,0
32,2024-05-12T07:08:27.579102+00:00,4.0,25,An Dương Vương,Phú Thượng,Tây Hồ,2023-08-29 00:00:00,0,0,1,0,0,0,0,0
33,2024-05-12T07:08:32.643387+00:00,1.7,5,Mai Dịch,Mai Dịch,Cầu Giấy,2023-09-07 00:00:00,0,0,1,0,0,0,0,0
34,2024-05-12T07:08:36.613484+00:00,6.9,35,Nguyễn Văn Huyên,Quan Hoa,Cầu Giấy,2023-08-29 00:00:00,0,0,0,0,0,0,0,0
35,2024-05-12T07:08:41.754568+00:00,5.5,30,Lê Trọng Tấn,Khương Mai,Thanh Xuân,2023-09-08 00:00:00,0,0,1,0,0,0,0,0
36,2024-05-12T07:08:47.900805+00:00,3.8,25,Mậu Lương,Kiến Hưng,Hà Đông,2023-09-08 00:00:00,0,0,1,0,0,0,0,0
37,2024-05-12T07:08:53.885973+00:00,4.499,25,Phú Diễn,Phú Diễn,Bắc Từ Liêm,2023-09-12 00:00:00,0,0,1,1,0,0,0,0
38,2024-05-12T07:09:00.157353+00:00,5.0,28,Hồ Tùng Mậu,Mai Dịch,Cầu Giấy,2023-09-12 00:00:00,0,0,1,1,0,0,0,0
39,2024-05-12T07:09:04.949035+00:00,4.5,25,Trần Cung,Nghĩa Tân,Cầu Giấy,2023-09-13 00:00:00,0,0,0,1,0,0,0,0
40,2024-05-12T07:09:10.872667+00:00,5.2,40,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,2023-09-19 00:00:00,0,0,1,0,0,402,0,0
41,2024-05-12T07:09:15.923818+00:00,4.6,40,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,2023-09-19 00:00:00,0,0,1,1,0,304,0,0
42,2024-05-12T07:09:21.074974+00:00,4.499,30,Cổ Nhuế,Cổ Nhuế,Bắc Từ Liêm,2023-09-20 00:00:00,0,0,1,1,0,0,0,0
43,2024-05-12T07:09:26.114353+00:00,3.8,22,Cầu Diễn,Phúc Diễn,Bắc Từ Liêm,2023-09-26 00:00:00,0,0,1,0,0,0,0,0
44,2024-05-12T07:09:32.999995+00:00,5.9,36,Mai Dịch,Mai Dịch,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0
45,2024-05-12T07:09:38.576596+00:00,3.999,40,Quốc Lộ 3,Thị trấn Trạm Trôi,Hoài Đức,2023-10-12 00:00:00,0,0,0,0,5,0,0,0
46,2024-05-12T07:09:43.392129+00:00,7.5,45,Nguyễn Khang,Yên Hòa,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0
47,2024-05-12T07:09:46.876503+00:00,5.6,30,Mai Dịch,Mai Dịch,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0
48,2024-05-12T07:09:52.986009+00:00,4.5,25,Lê Trọng Tấn,Khương Mai,Thanh Xuân,2023-10-19 00:00:00,0,0,0,0,0,0,0,0
49,2024-05-12T07:09:57.988467+00:00,5.2,35,Quan Nhân,Nhân Chính,Thanh Xuân,2023-10-19 00:00:00,0,0,1,1,4,0,0,0
50,2024-05-12T07:10:03.622025+00:00,6.3,45,Trần Thái Tông,Dịch Vọng,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0
51,2024-05-12T07:10:10.0318+00:00,5.8,35,Nguyễn Lương Bằng,Quang Trung,Đống Đa,2023-10-19 00:00:00,0,0,1,1,7,0,0,0
52,2024-05-12T07:10:14.548131+00:00,4.2,30,Hàng Bông,Kiến Hưng,Hà Đông,2023-12-18 00:00:00,0,0,1,0,0,0,0,0
53,2024-05-12T07:10:19.672899+00:00,3.7,25,Tân Triều,Thanh Xuân Nam,Thanh Xuân,2023-10-28 00:00:00,0,0,1,1,0,0,0,0
54,2024-05-12T07:10:25.391359+00:00,5.5,30,rỗng,Dịch Vọng Hậu,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0
55,2024-05-12T07:10:31.331719+00:00,3.5,25,Đê Trần Khát Chân,Thanh Lương,Hai Bà Trưng,2023-12-23 00:00:00,0,0,0,1,0,3,0,0
56,2024-05-12T07:10:36.999197+00:00,3.0,30,Nguyễn Xiển,Văn Quán,Hà Đông,2023-12-22 00:00:00,0,0,0,0,0,0,0,0
57,2024-05-12T07:10:44.37654+00:00,2.9,20,Định Công,Định Công,Hoàng Mai,2023-12-29 00:00:00,0,0,0,0,0,0,0,0
58,2024-05-12T07:10:50.441616+00:00,4.6,25,Quan Nhân,Nhân Chính,Thanh Xuân,2024-01-08 00:00:00,2,0,1,1,0,0,0,0
59,2024-05-12T07:10:56.33661+00:00,6.9,40,Nguyễn Khang,Yên Hòa,Cầu Giấy,2024-01-02 00:00:00,1,0,1,1,0,0,0,4
