id,created_at,price,area,street,ward,district,post_date,num_bedroom,num_diningroom,num_kitchen,num_toilet,num_floor,current_floor,direction,street_width,price_zscore,area_zscore
33,2024-05-12T07:08:32.643387+00:00,1.7,5,Mai Dịch,Mai Dịch,Cầu Giấy,2023-09-07 00:00:00,0,0,1,0,0,0,0,0,-0.13511896549979552,-1.1654797529095453
35,2024-05-12T07:08:41.754568+00:00,5.5,30,Lê Trọng Tấn,Khương Mai,Thanh Xuân,2023-09-08 00:00:00,0,0,1,0,0,0,0,0,0.23957026909944112,0.15485999467346875
36,2024-05-12T07:08:47.900805+00:00,3.8,25,Mậu Lương,Kiến Hưng,Hà Đông,2023-09-08 00:00:00,0,0,1,0,0,0,0,0,0.07194613783136156,-0.10920795484313404
37,2024-05-12T07:08:53.885973+00:00,4.499,25,Phú Diễn,Phú Diễn,Bắc Từ Liêm,2023-09-12 00:00:00,0,0,1,1,0,0,0,0,0.14086923651158956,-0.10920795484313404
38,2024-05-12T07:09:00.157353+00:00,5.0,28,Hồ Tùng Mậu,Mai Dịch,Cầu Giấy,2023-09-12 00:00:00,0,0,1,1,0,0,0,0,0.1902690540205942,0.04923281486682764
39,2024-05-12T07:09:04.949035+00:00,4.5,25,Trần Cung,Nghĩa Tân,Cầu Giấy,2023-09-13 00:00:00,0,0,0,1,0,0,0,0,0.14096783894174728,-0.10920795484313404
40,2024-05-12T07:09:10.872667+00:00,5.2,40,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,2023-09-19 00:00:00,0,0,1,0,0,402,0,0,0.209989540052133,0.6829958937066744
41,2024-05-12T07:09:15.923818+00:00,4.6,40,Xuân Đỉnh,Xuân Đỉnh,Bắc Từ Liêm,2023-09-19 00:00:00,0,0,1,1,0,304,0,0,0.15082808195751662,0.6829958937066744
42,2024-05-12T07:09:21.074974+00:00,4.499,30,Cổ Nhuế,Cổ Nhuế,Bắc Từ Liêm,2023-09-20 00:00:00,0,0,1,1,0,0,0,0,0.14086923651158956,0.15485999467346875
43,2024-05-12T07:09:26.114353+00:00,3.8,22,Cầu Diễn,Phúc Diễn,Bắc Từ Liêm,2023-09-26 00:00:00,0,0,1,0,0,0,0,0,0.07194613783136156,-0.26764872455309574
44,2024-05-12T07:09:32.999995+00:00,5.9,36,Mai Dịch,Mai Dịch,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0,0.2790112411625187,0.47174153409339215
45,2024-05-12T07:09:38.576596+00:00,3.999,40,Quốc Lộ 3,Thị trấn Trạm Trôi,Hoài Đức,2023-10-12 00:00:00,0,0,0,0,5,0,0,0,0.09156802143274266,0.6829958937066744
47,2024-05-12T07:09:46.876503+00:00,5.6,30,Mai Dịch,Mai Dịch,Cầu Giấy,2023-10-10 00:00:00,0,0,0,1,0,0,0,0,0.24943051211521047,0.15485999467346875
